concept_id,name,locale,creator,date_created,concept_name_id,voided,voided_by,date_voided,void_reason,uuid,concept_name_type,locale_preferred
25,'HEPATITISBVAXNO.3','en',1,'2004-01-0100:00:00',25,0,NULL,NULL,NULL,'beb138fb-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

26,'HEPATITISA','en',1,'2004-01-0100:00:00',26,0,NULL,NULL,NULL,'beb13a04-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

27,'HEPATITISB','en',1,'2004-01-0100:00:00',27,0,NULL,NULL,NULL,'beb13b16-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

28,'HEPATITISC','en',1,'2004-01-0100:00:00',28,0,NULL,NULL,NULL,'beb13c4a-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

29,'HEPATITIS','en',1,'2004-01-0100:00:00',29,0,NULL,NULL,NULL,'beb13d42-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

30,'HIVPOS','en',1,'2004-01-0100:00:00',30,0,NULL,NULL,NULL,'beb13e9c-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

31,'SERVICESORDERED','en',1,'2006-02-1017:08:45',31,0,NULL,NULL,NULL,'beb13ffb-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

32,'MALARIALSMEAR','en',1,'2004-01-0100:00:00',32,0,NULL,NULL,NULL,'beb14111-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

33,'MALARIA,MILD','en',1,'2004-01-0100:00:00',33,0,NULL,NULL,NULL,'beb1421f-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

34,'MALARIA,SEVERE','en',1,'2004-01-0100:00:00',34,0,NULL,NULL,NULL,'beb1432c-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

35,'MALARIA,PRESUMED','en',1,'2004-01-0100:00:00',35,0,NULL,NULL,NULL,'beb1443a-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

36,'MEASLESVACCINATION','en',1,'2004-01-0100:00:00',36,0,NULL,NULL,NULL,'beb14543-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

37,'MENSTRUALDYSFUNCTION','en',1,'2004-01-0100:00:00',37,0,NULL,NULL,NULL,'beb14654-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

38,'ORALPOLIOVACCINATION','en',1,'2004-01-0100:00:00',38,0,NULL,NULL,NULL,'beb14759-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

39,'ORALPOLIOVAXNO.2','en',1,'2004-01-0100:00:00',39,0,NULL,NULL,NULL,'beb1486b-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

40,'ORALPOLIOVAXNO.3','en',1,'2004-01-0100:00:00',40,0,NULL,NULL,NULL,'beb1499f-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

41,'PAPANICOLAOUSMEAR','en',1,'2004-01-0100:00:00',41,0,NULL,NULL,NULL,'beb14aa4-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

42,'PNEUMONIA,TUBERCULOUS','en',1,'2004-01-0100:00:00',42,0,NULL,NULL,NULL,'beb14b9c-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

43,'PNEUMONIA','en',1,'2004-01-0100:00:00',43,0,NULL,NULL,NULL,'beb14c94-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

44,'PREGNANCY','en',1,'2004-01-0100:00:00',44,0,NULL,NULL,NULL,'beb14d99-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

45,'URINEPREGNANCYTEST','en',1,'2004-01-0100:00:00',45,0,NULL,NULL,NULL,'beb14e91-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

46,'PREGNANCY,ECTOPIC','en',1,'2004-01-0100:00:00',46,0,NULL,NULL,NULL,'beb14f8e-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

47,'PREGNANCY,HYPERTENSIONASSOCIATED','en',1,'2004-01-0100:00:00',47,0,NULL,NULL,NULL,'beb1508a-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

48,'PREGNANCY,MISCARRIAGE','en',1,'2004-01-0100:00:00',48,0,NULL,NULL,NULL,'beb1518b-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

49,'POSTPARTUMHEMORRHAGE','en',1,'2004-01-0100:00:00',49,0,NULL,NULL,NULL,'beb15283-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

50,'PREGNANCY,TERMINATION','en',1,'2004-01-0100:00:00',50,0,NULL,NULL,NULL,'beb1537f-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

51,'RICKETS','en',1,'2004-01-0100:00:00',51,0,NULL,NULL,NULL,'beb1547b-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

52,'SCURVY','en',1,'2004-01-0100:00:00',52,0,NULL,NULL,NULL,'beb15578-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

53,'STOOLMICROSCOPY','en',1,'2004-01-0100:00:00',53,0,NULL,NULL,NULL,'beb15678-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

54,'TETANUSBOOSTER','en',1,'2004-01-0100:00:00',54,0,NULL,NULL,NULL,'beb15775-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

55,'URINARYTRACTINFECTION','en',1,'2004-01-0100:00:00',55,0,NULL,NULL,NULL,'beb15875-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

56,'URINEMICROSCOPY','en',1,'2004-01-0100:00:00',56,0,NULL,NULL,NULL,'beb1596d-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

57,'YELLOWFEVER','en',1,'2004-01-0100:00:00',57,0,NULL,NULL,NULL,'beb15b88-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

58,'TUBERCULOSIS','en',1,'2004-01-0100:00:00',58,0,NULL,NULL,NULL,'beb15c9e-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

59,'LEPROSY','en',1,'2004-01-0100:00:00',59,0,NULL,NULL,NULL,'beb15da8-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

60,'MENINGITIS,NOS','en',1,'2004-01-0100:00:00',60,0,NULL,NULL,NULL,'beb15eb9-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

61,'WHOOPINGCOUGH','en',1,'2004-01-0100:00:00',61,0,NULL,NULL,NULL,'beb15fc3-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

62,'CHICKENPOX','en',1,'2004-01-0100:00:00',62,0,NULL,NULL,NULL,'beb160d0-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

63,'MEASLES','en',1,'2004-01-0100:00:00',63,0,NULL,NULL,NULL,'beb161dd-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

64,'MUMPS','en',1,'2004-01-0100:00:00',64,0,NULL,NULL,NULL,'beb1631a-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

65,'GONORRHOEA','en',1,'2004-01-0100:00:00',65,0,NULL,NULL,NULL,'beb16416-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

66,'BILHARZIA','en',1,'2004-01-0100:00:00',66,0,NULL,NULL,NULL,'beb16513-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

67,'INTESTINALWORMS','en',1,'2004-01-0100:00:00',67,0,NULL,NULL,NULL,'beb16618-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

68,'MALNUTRITION','en',1,'2004-01-0100:00:00',68,0,NULL,NULL,NULL,'beb16714-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

69,'EYEINFECTIONS','en',1,'2004-01-0100:00:00',69,0,NULL,NULL,NULL,'beb16815-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

70,'CATARACT','en',1,'2004-01-0100:00:00',70,0,NULL,NULL,NULL,'beb16911-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

71,'EARDISORDERS','en',1,'2004-01-0100:00:00',71,0,NULL,NULL,NULL,'beb16a09-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

72,'CIRCULATORYDISEASE','en',1,'2004-01-0100:00:00',72,0,NULL,NULL,NULL,'beb16b0a-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

73,'RESPIRATORYDISEASENOS','en',1,'2004-01-0100:00:00',73,0,NULL,NULL,NULL,'beb16c06-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

74,'DISEASEOFPUERPERIUMANDCHILDBIRTH','en',1,'2004-01-0100:00:00',74,0,NULL,NULL,NULL,'beb16d07-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

75,'NEOPLASM','en',1,'2004-01-0100:00:00',75,0,NULL,NULL,NULL,'beb16dff-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

76,'DISEASEOFBLOODANDBLOODFORMINGORGANS','en',1,'2004-01-0100:00:00',76,0,NULL,NULL,NULL,'beb16eff-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

77,'MENTALDISORDERS','en',1,'2004-01-0100:00:00',77,0,NULL,NULL,NULL,'beb16ffc-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

78,'DENTALDISORDERS','en',1,'2004-01-0100:00:00',78,0,NULL,NULL,NULL,'beb170fc-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

79,'SKINDISORDERS','en',1,'2004-01-0100:00:00',79,0,NULL,NULL,NULL,'beb171f5-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

80,'JOINTPAIN','en',1,'2004-01-0100:00:00',80,0,NULL,NULL,NULL,'beb172f5-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

81,'CONGENITALDISORDERS','en',1,'2004-01-0100:00:00',81,0,NULL,NULL,NULL,'beb173f1-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

82,'PYREXIAOFUNKNOWNORIG

PUO)','en',1,'2004-01-0100:00:00',82,0,NULL,NULL,NULL,'beb174ee-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

83,'TOXICITY,NOTOTHERWISESPECIFIED','en',1,'2004-01-0100:00:00',83,0,NULL,NULL,NULL,'beb175f3-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

84,'ACCIDENT,NOTOTHERWISESPECIFIED','en',1,'2004-01-0100:00:00',84,0,NULL,NULL,NULL,'beb176eb-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

85,'UNCLASSIFIEDDISEASES','en',1,'2004-01-0100:00:00',85,0,NULL,NULL,NULL,'beb177eb-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

86,'ACCIDENT,MOTORVEHICLE','en',1,'2004-01-0100:00:00',86,0,NULL,NULL,NULL,'beb178e4-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

87,'SULFADOXINEANDPYRIMETHAMINE','en',1,'2004-01-0100:00:00',87,0,NULL,NULL,NULL,'beb179e4-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

88,'ASPIRIN','en',1,'2004-01-0100:00:00',88,0,NULL,NULL,NULL,'beb17ae1-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

89,'PARACETAMOL','en',1,'2004-01-0100:00:00',89,0,NULL,NULL,NULL,'beb17bdd-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

90,'PENICILLI

ORAL)TABS','en',1,'2004-01-0100:00:00',90,0,NULL,NULL,NULL,'beb17cd9-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

91,'TRIMETHOPRIM','en',1,'2004-01-0100:00:00',91,0,NULL,NULL,NULL,'beb17dda-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

92,'DAPSONE','en',1,'2004-01-0100:00:00',92,0,NULL,NULL,NULL,'beb1861f-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

93,'COTRIMOXAZOLE','en',1,'2004-01-0100:00:00',93,0,NULL,NULL,NULL,'beb18753-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

94,'BETADINE','en',1,'2004-01-0100:00:00',94,0,NULL,NULL,NULL,'beb1886d-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

95,'DOXYCYCLINE','en',1,'2004-01-0100:00:00',95,0,NULL,NULL,NULL,'beb189b3-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

96,'MEFLOQUINE','en',1,'2004-01-0100:00:00',96,0,NULL,NULL,NULL,'beb18aaf-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

97,'PROGUANIL','en',1,'2004-01-0100:00:00',97,0,NULL,NULL,NULL,'beb18bb8-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

98,'CHLOROQUINE','en',1,'2004-01-0100:00:00',98,0,NULL,NULL,NULL,'beb18cb9-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

99,'FUROSEMIDE','en',1,'2004-04-0200:00:00',99,0,NULL,NULL,NULL,'beb18db9-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

100,'GENTAMICIN','en',1,'2004-01-0100:00:00',100,0,NULL,NULL,NULL,'beb18eb6-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

101,'X-RAY,ABDOMEN','en',1,'2004-01-0100:00:00',101,0,NULL,NULL,NULL,'beb18fbb-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

102,'TOXICITY,DRUG','en',1,'2004-01-0100:00:00',102,0,NULL,NULL,NULL,'beb190bb-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

103,'HIVANTIBODY','en',1,'2004-01-0100:00:00',103,0,NULL,NULL,NULL,'beb191b8-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

104,'AIDS','en',1,'2004-01-0100:00:00',104,0,NULL,NULL,NULL,'beb192b8-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

105,'INTRAVENOUSDRUGUSE','en',1,'2006-02-1320:19:57',105,0,NULL,NULL,NULL,'beb193b9-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

106,'RESPIRATORYTRACTINFECTION,UPPER','en',1,'2004-01-0100:00:00',106,0,NULL,NULL,NULL,'beb19654-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

107,'COUGH','en',1,'2004-01-0100:00:00',107,0,NULL,NULL,NULL,'beb19766-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

108,'BRONCHOSPASM','en',1,'2004-01-0100:00:00',108,0,NULL,NULL,NULL,'beb19873-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

109,'WOUND,SEPTIC','en',1,'2004-01-0100:00:00',109,0,NULL,NULL,NULL,'beb19989-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

110,'LACERATION','en',1,'2004-01-0100:00:00',110,0,NULL,NULL,NULL,'beb19a97-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

111,'DYSPEPSIA','en',1,'2004-01-0100:00:00',111,0,NULL,NULL,NULL,'beb19bad-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

112,'TONSILLITIS','en',1,'2004-01-0100:00:00',112,0,NULL,NULL,NULL,'beb19cbf-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

113,'FURUNCULOSIS','en',1,'2004-01-0100:00:00',113,0,NULL,NULL,NULL,'beb19dd0-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

114,'OTITISMEDIA','en',1,'2004-01-0100:00:00',114,0,NULL,NULL,NULL,'beb19ede-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

115,'MASTITIS','en',1,'2004-01-0100:00:00',115,0,NULL,NULL,NULL,'beb19feb-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

116,'ARTHRITIS','en',1,'2004-01-0100:00:00',116,0,NULL,NULL,NULL,'beb1a101-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

117,'CONJUNCTIVITIS','en',1,'2004-01-0100:00:00',117,0,NULL,NULL,NULL,'beb1a213-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

118,'EYEPROBLEMOTHER','en',1,'2004-01-0100:00:00',118,0,NULL,NULL,NULL,'beb1a329-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

119,'DERMATITIS','en',1,'2004-01-0100:00:00',119,0,NULL,NULL,NULL,'beb1a437-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

120,'DERMATITIS,ALLERGIC','en',1,'2004-01-0100:00:00',120,0,NULL,NULL,NULL,'beb1a54d-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

121,'MYALGIA','en',1,'2004-01-0100:00:00',121,0,NULL,NULL,NULL,'beb1a65e-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

122,'CHICKENPOX','en',1,'2004-03-0200:00:00',122,0,NULL,NULL,NULL,'beb1a76c-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

123,'MALARIA','en',1,'2004-01-0100:00:00',123,0,NULL,NULL,NULL,'beb1a8dc-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

124,'AMOEBIASIS','en',1,'2004-01-0100:00:00',124,0,NULL,NULL,NULL,'beb1a9ff-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

125,'HEADINJURY','en',1,'2004-01-0100:00:00',125,0,NULL,NULL,NULL,'beb1ab26-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

126,'GINGIVITIS','en',1,'2004-01-0100:00:00',126,0,NULL,NULL,NULL,'beb7db33-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

127,'DYSMENORRHOEA','en',1,'2004-01-0100:00:00',127,0,NULL,NULL,NULL,'beb7dd30-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

128,'WOUND,DEEP','en',1,'2004-01-0100:00:00',128,0,NULL,NULL,NULL,'beb7de4e-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

129,'RHINITIS,ALLERGIC','en',1,'2004-01-0100:00:00',129,0,NULL,NULL,NULL,'beb7df69-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

130,'PUERPERALSEPSIS','en',1,'2004-01-0100:00:00',130,0,NULL,NULL,NULL,'beb7e0ae-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

131,'DENTALCARIES','en',1,'2004-01-0100:00:00',131,0,NULL,NULL,NULL,'beb7e1d5-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

132,'STY','en',1,'2004-01-0100:00:00',132,0,NULL,NULL,NULL,'beb7e2e2-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

133,'GOITER','en',1,'2004-01-0100:00:00',133,0,NULL,NULL,NULL,'beb7e3e3-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

134,'CELLULITIS','en',1,'2004-01-0100:00:00',134,0,NULL,NULL,NULL,'beb7e4ec-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

135,'BURN','en',1,'2004-01-0100:00:00',135,0,NULL,NULL,NULL,'beb7e5f1-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

136,'CHESTPAIN','en',1,'2004-01-0100:00:00',136,0,NULL,NULL,NULL,'beb7e6f2-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

137,'ASTHMA','en',1,'2004-01-0100:00:00',137,0,NULL,NULL,NULL,'beb7e7fb-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

138,'ABSCESS','en',1,'2004-01-0100:00:00',138,0,NULL,NULL,NULL,'beb7e8f7-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

139,'VAGINITIS','en',1,'2004-01-0100:00:00',139,0,NULL,NULL,NULL,'beb7ea52-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

140,'SCABIES','en',1,'2004-01-0100:00:00',140,0,NULL,NULL,NULL,'beb7eb63-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

141,'TYPHOIDFEVER','en',1,'2004-01-0100:00:00',141,0,NULL,NULL,NULL,'beb7ec71-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

142,'ALLERGY','en',1,'2004-01-0100:00:00',142,0,NULL,NULL,NULL,'beb7f975-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

143,'LUMBAGO','en',1,'2004-01-0100:00:00',143,0,NULL,NULL,NULL,'beb7fa7a-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

144,'TINEACAPITIS','en',1,'2004-01-0100:00:00',144,0,NULL,NULL,NULL,'beb7fb7f-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

145,'LABORPAIN','en',1,'2004-01-0100:00:00',145,0,NULL,NULL,NULL,'beb7fc7f-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

146,'LABORPAIN,FALSE','en',1,'2004-01-0100:00:00',146,0,NULL,NULL,NULL,'beb7fd84-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

147,'BRONCHITIS','en',1,'2004-01-0100:00:00',147,0,NULL,NULL,NULL,'beb80218-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

148,'INJURY','en',1,'2004-01-0100:00:00',148,0,NULL,NULL,NULL,'beb803af-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

149,'CERVICITIS','en',1,'2004-01-0100:00:00',149,0,NULL,NULL,NULL,'beb81370-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

150,'PHARYNGITIS','en',1,'2004-01-0100:00:00',150,0,NULL,NULL,NULL,'beb81506-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

151,'ABDOMINALPAIN','en',1,'2004-01-0100:00:00',151,0,NULL,NULL,NULL,'beb81698-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

152,'DYSENTERY','en',1,'2004-01-0100:00:00',152,0,NULL,NULL,NULL,'beb8182b-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

153,'GUD','en',1,'2004-01-0100:00:00',153,0,NULL,NULL,NULL,'beb824b2-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

154,'PUD','en',1,'2004-01-0100:00:00',154,0,NULL,NULL,NULL,'beb8262f-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

155,'EPILEPSY','en',1,'2004-01-0100:00:00',155,0,NULL,NULL,NULL,'beb83409-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

156,'WOUNDNOS','en',1,'2004-01-0100:00:00',156,0,NULL,NULL,NULL,'beb84397-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

